,date,cluster,keyword_sum
0,2023-01-01,accommodation,18571
1,2023-01-01,"advertising, marketing & research",1262
2,2023-01-01,"agriculture, farm animals & forestry",17
3,2023-01-01,animal care & products for animals,1639
4,2023-01-01,arts & design,1417
5,2023-01-01,automotive,2592
6,2023-01-01,beauty & personal care,5764
7,2023-01-01,construction,58790
8,2023-01-01,consulting,10024
9,2023-01-01,e-commerce & retail trade,931
10,2023-01-01,education,86246
11,2023-01-01,energy,28040
12,2023-01-01,engineering & architecture,34
13,2023-01-01,entertainment & recreation,1496
14,2023-01-01,event organization,11766
15,2023-01-01,fashion,35741
16,2023-01-01,finance,46135
17,2023-01-01,food & beverages,4557
18,2023-01-01,health care and social assistance,5079
19,2023-01-01,home care & home services,6490
20,2023-01-01,human resources,5534
21,2023-01-01,information technology,16505
22,2023-01-01,insurance,23064
23,2023-01-01,legal,107557
24,2023-01-01,manufacturing,29973
25,2023-01-01,media & social networks,6393
26,2023-01-01,non-profit organizations,1649
27,2023-01-01,public administration,12923
28,2023-01-01,real estate & leasing,2221
29,2023-01-01,sports & activities,8313
30,2023-01-01,telecommunications,12479
31,2023-01-01,transportation,11734
32,2023-01-01,video & photography,7443
33,2023-01-01,"warehousing, storage & delivery",4353
34,2023-01-02,accommodation,54716
35,2023-01-02,"advertising, marketing & research",4751
36,2023-01-02,"agriculture, farm animals & forestry",541
37,2023-01-02,animal care & products for animals,5578
38,2023-01-02,arts & design,5879
39,2023-01-02,automotive,12024
40,2023-01-02,beauty & personal care,18453
41,2023-01-02,construction,170814
42,2023-01-02,consulting,31274
43,2023-01-02,e-commerce & retail trade,3965
44,2023-01-02,education,217805
45,2023-01-02,energy,78563
46,2023-01-02,engineering & architecture,510
47,2023-01-02,entertainment & recreation,5888
48,2023-01-02,event organization,36194
49,2023-01-02,fashion,136058
50,2023-01-02,finance,141957
51,2023-01-02,food & beverages,16767
52,2023-01-02,health care and social assistance,17574
53,2023-01-02,home care & home services,17834
54,2023-01-02,human resources,20086
55,2023-01-02,information technology,53842
56,2023-01-02,insurance,75113
57,2023-01-02,legal,277276
58,2023-01-02,manufacturing,84362
59,2023-01-02,media & social networks,17954
60,2023-01-02,non-profit organizations,5348
61,2023-01-02,public administration,45678
62,2023-01-02,real estate & leasing,8787
63,2023-01-02,sports & activities,24160
64,2023-01-02,telecommunications,33786
65,2023-01-02,transportation,31447
66,2023-01-02,video & photography,20526
67,2023-01-02,"warehousing, storage & delivery",11188
68,2023-01-03,accommodation,80031
69,2023-01-03,"advertising, marketing & research",6646
70,2023-01-03,"agriculture, farm animals & forestry",1182
71,2023-01-03,animal care & products for animals,7606
72,2023-01-03,arts & design,7795
73,2023-01-03,automotive,17634
74,2023-01-03,beauty & personal care,24655
75,2023-01-03,construction,240907
76,2023-01-03,consulting,46490
77,2023-01-03,e-commerce & retail trade,5049
78,2023-01-03,education,315105
79,2023-01-03,energy,109082
80,2023-01-03,engineering & architecture,654
81,2023-01-03,entertainment & recreation,9484
82,2023-01-03,event organization,59156
83,2023-01-03,fashion,175083
84,2023-01-03,finance,182793
85,2023-01-03,food & beverages,22500
86,2023-01-03,health care and social assistance,22808
87,2023-01-03,home care & home services,25167
88,2023-01-03,human resources,30192
89,2023-01-03,information technology,73626
90,2023-01-03,insurance,97790
91,2023-01-03,legal,365119
92,2023-01-03,manufacturing,117815
93,2023-01-03,media & social networks,24761
94,2023-01-03,non-profit organizations,6390
95,2023-01-03,public administration,62704
96,2023-01-03,real estate & leasing,10463
97,2023-01-03,sports & activities,37626
98,2023-01-03,telecommunications,47530
99,2023-01-03,transportation,43475
100,2023-01-03,video & photography,29049
101,2023-01-03,"warehousing, storage & delivery",13607
102,2023-01-04,accommodation,78300
103,2023-01-04,"advertising, marketing & research",6131
104,2023-01-04,"agriculture, farm animals & forestry",1106
105,2023-01-04,animal care & products for animals,5041
106,2023-01-04,arts & design,7733
107,2023-01-04,automotive,15566
108,2023-01-04,beauty & personal care,25642
109,2023-01-04,construction,240084
110,2023-01-04,consulting,43074
111,2023-01-04,e-commerce & retail trade,4548
112,2023-01-04,education,313895
113,2023-01-04,energy,110225
114,2023-01-04,engineering & architecture,888
115,2023-01-04,entertainment & recreation,8518
116,2023-01-04,event organization,58170
117,2023-01-04,fashion,177775
118,2023-01-04,finance,168940
119,2023-01-04,food & beverages,21488
120,2023-01-04,health care and social assistance,20328
121,2023-01-04,home care & home services,21142
122,2023-01-04,human resources,31045
123,2023-01-04,information technology,69328
124,2023-01-04,insurance,92306
125,2023-01-04,legal,357551
126,2023-01-04,manufacturing,124180
127,2023-01-04,media & social networks,24426
128,2023-01-04,non-profit organizations,6965
129,2023-01-04,public administration,62018
